东经,北纬,测试数据 
117.776042,39.801823,5
117.82033,39.76492,4.7
117.60877,39.90635,5.3
117.84713,39.94242,2.4
117.780013,39.916353,4.7
117.54173,39.94309,5.2
117.7192,39.9196,5.1
117.627751,39.801995,4.1
117.83809,39.87033,4.3
117.7675,39.768567,3.7
117.7416,39.74286,5.3
117.65012,39.71686,3.4
117.791945,39.689798,4.2
117.71989,39.67588,4.9
117.66978,39.61059,4.6
117.903501,40.186971,4
118.089259,40.199209,3.7
117.958784,40.257171,5
118.015481,40.121748,3
117.769469,40.128768,5
118.046708,40.183618,4.4
117.847334,40.138987,2.8
117.956597,40.153047,4.9
118.071,40.038149,4.9
117.812457,40.071005,3
117.883618,40.030531,5.1
117.807602,40.202687,2.4
117.944494,40.089236,3.1
118.606022,40.123,3.8
118.577924,40.05087,2.7
118.507531,40.012771,4.8
118.596412,40.009898,3.6
118.600095,39.924534,3.7
118.65754,39.92145,5.3
118.56147,39.892766,5.2
118.732867,40.083022,4.5
118.8151,39.98249,1.4
118.844224,40.076122,3.1
118.718545,40.186097,3.4
119.023294,40.476793,5.2
119.05452,40.456204,2.5
118.72692,40.34789,2.9
118.71691,40.34346,2.8
118.73319,40.34177,3.5
118.74363,40.34248,2.8
118.75837,40.23749,3.41
118.75932,40.23072,4.25
119.105205,40.477212,4.8
119.517056,40.201301,2.89
119.145397,40.371494,5.1
119.439211,40.455809,5.5
118.82868,40.21521,3.3
118.793335,39.720431,5.1
118.842364,39.700018,3.7
118.884536,39.704154,3.23
118.880384,39.661085,2.9
118.8943,39.642171,4.04
119.104472,39.684292,1.7
119.176861,39.670371,2.48
118.895582,39.621771,3.3
119.076066,39.735628,1.5
119.231178,39.649164,2.4
118.992284,39.692576,2.33
119.085941,39.579457,2.8
119.183487,39.584101,2.63
119.038445,39.547166,2.54
119.103085,39.515489,1.95
119.252723,39.893377,2.6
119.30385,39.777238,3
119.279003,39.807266,5
119.33159,39.80475,3.3
119.251583,39.855296,2.6
119.304535,39.846161,3.74
119.275187,40.083289,1.5
119.18052,39.92439,3.8
119.174039,39.915355,3.84
118.93932,40.079725,4.4
119.04279,39.82177,4.9
118.84672,39.73623,5.2
118.80651,39.77308,5.3
118.92701,40.09481,4.4
118.94939,40.10354,4.3
119.014852,39.965704,5.2
119.05675,39.99473,4.9
119.00422,39.88163,4.9
115.00628,40.56648,5.2
115.01942,40.52333,5.1
115.04368,40.4813,5.3
115.01567,40.43886,5.3
114.85314,40.45138,5.2
114.81384,40.37473,5.3
114.85582,40.36288,5.2
114.86921,40.27525,5.5
115.267007,41.436078,5.2
114.659612,41.411949,5.3
114.631547,41.085382,4.8
114.330244,41.203791,5.4
114.364936,41.127281,5.2
114.297183,41.485792,5
114.594552,41.158997,5.5
114.608258,41.331328,5.5
114.609562,41.242552,5.3
114.459307,41.277682,5.3
114.319668,41.338878,4.1
114.422826,41.453439,4.3
114.444025,41.028333,5.5
114.472705,41.136602,4.8
114.505262,41.387146,5.1
114.906414,41.27379,5.4
114.754768,41.246177,5.1
114.820953,41.351665,5.2
114.882494,41.463869,5
115.012169,41.353319,4.7
115.017744,41.427385,5.1
114.758872,41.097377,4.7
114.90943,41.15799,5
115.191212,41.338919,5.3
115.340462,41.307823,5.5
114.269997,41.635101,5.3
114.3694,41.595581,5.1
114.458702,41.571838,5.3
114.573502,41.567822,5.2
114.529602,41.62175,5.3
114.809402,41.56567,4.9
114.770599,41.600479,5.5
114.6968,41.672459,5.1
114.8414,41.749741,5
114.603401,41.791988,4.5
114.716301,41.792042,5.1
114.506897,41.72979,5.1
114.390404,41.716171,5.1
114.281601,41.78503,5.3
114.372101,41.84016,5.5
114.447403,41.892441,5.1
114.552696,41.934391,5.1
114.543098,42.073929,5.1
114.702202,42.083759,5
114.639603,41.990601,4.9
114.696899,41.939049,5
114.6045,41.865871,4.8
114.806602,41.915421,5.1
114.714203,41.868179,5.1
114.816803,41.844929,5.2
114.887299,41.937981,5
114.748497,42.022289,5.1
115.960287,41.706936,5.41
115.92888,41.763196,5.77
115.941265,41.8534,5.15
115.96113,41.819583,5.18
115.957271,41.792285,5.46
115.979063,41.78143,5.09
116.020261,41.732067,5.56
115.988366,41.739607,4.63
115.535886,41.726503,5.34
115.533487,41.747023,5.63
115.499531,41.740528,5.45
115.406513,41.708351,5.3
115.519836,41.699707,4.78
115.571778,41.720974,5.2
115.379829,41.6902,5.43
115.740067,41.458807,4.7
115.845102,41.491126,5
115.947435,41.414902,4.6
115.704067,41.652948,4.79
115.796239,41.555658,4.1
115.872184,41.702581,5.1
115.732008,41.764442,5.53
115.857097,41.804617,5.27
115.319818,41.584858,5.4
115.288979,41.498551,5.1
115.200119,41.529569,5.1
115.608207,41.496173,4.52
115.490775,41.496992,5.07
115.404451,41.441968,4.92
115.547376,41.370715,3.82
115.842318,41.378802,4.8
114.138934,41.468803,5.5
114.014391,41.427369,5.9
114.112036,41.347895,5.3
114.023049,41.348129,5.7
114.177693,41.306538,5.58
114.259761,41.298969,5.58
114.26356,41.148591,4.74
114.31326,41.031294,5.3
114.290195,40.936991,5.2
114.135728,40.89352,5.59
114.257779,40.818227,5.31
114.208419,41.032752,5.43
114.171271,41.159357,5.65
114.111753,41.24051,5.41
114.06752,41.125491,5.19
113.932495,41.055248,5.2
114.03267,41.215619,5.29
114.76268,39.988332,5.33
114.862668,40.042151,5.2
114.675052,40.069659,5.43
114.444078,39.918719,5.07
114.659458,39.866493,5.13
114.620526,39.896991,5.27
114.864274,39.990327,5.65
114.467164,39.836032,5.34
114.418309,39.876724,4.85
114.951912,40.070579,5.15
114.310347,39.915958,5.1
114.56079,39.771597,5.52
114.62485,39.77312,5.44
114.468782,39.764901,5.26
114.809073,39.883957,5.18
114.956893,39.994069,5.23
114.550303,39.876529,5.42
114.522135,39.920964,5.26
114.564793,39.96023,5.36
114.664499,39.997422,5.43
114.755388,40.069507,5.35
114.74654,39.655788,5.04
114.756709,39.922768,5.06
114.712203,39.920273,4.9
114.59354,39.813118,5.3
114.48939,40.111683,5.74
114.013894,40.022787,6.25
114.104525,39.969791,5.96
114.107198,40.03018,5.63
114.134088,40.108467,5.73
114.329225,40.179739,5.6
114.298736,40.118472,5.67
114.21492,40.147985,5.68
114.213568,40.081659,5.5
114.205847,40.000621,5.93
114.373819,40.033142,5.58
114.407418,40.140647,5.45
114.492351,40.20844,5.91
114.552524,40.301727,5.39
114.661746,40.332233,5.44
114.719601,40.263338,5.69
114.648082,40.252361,5.59
114.606279,40.158647,5.62
114.794568,40.187629,5.52
114.559249,40.214481,5.94
114.474304,40.67465,5.44
114.354128,40.681428,5.3
114.29426,40.510708,5.3
114.223432,40.671978,5.34
114.715665,40.670312,5.2
114.667443,40.590876,5.2
114.501418,40.440713,5.3
114.512389,40.52962,5.2
114.376891,40.604249,5.9
114.376944,40.420852,5.28
114.667865,40.752532,5.1
114.717116,40.74903,5.3
114.544727,40.706919,5.1
114.46564,40.746141,5.3
114.574328,40.787986,4.9
114.504987,40.82582,4.9
114.449389,40.884635,5.3
114.548002,40.970696,4.3
114.702362,40.969292,5.2
114.658211,40.904951,5.1
114.712023,40.801276,5.3
114.604857,40.72397,5.3
114.594786,40.721498,5.1
115.476479,40.401267,5
115.534601,40.37649,5.2
115.519037,40.362793,5.1
115.298599,40.444401,5.6
115.319504,40.419201,5.3
115.347603,40.442299,5.5
115.362198,40.450699,5.2
115.369301,40.4338,5.3
115.393799,40.442001,5.2
115.407799,40.4198,5.3
115.403999,40.405201,5.1
115.383003,40.416,5.2
115.362198,40.410702,5.3
115.344373,40.405448,5.2
115.383253,40.384911,5.3
115.42917,40.422262,5.4
115.439882,40.413232,5.3
115.453895,40.41072,5.4
115.436382,40.373513,5.4
115.603888,40.493248,4.9
115.613409,40.459491,5.1
115.611786,40.425284,5.1
115.550668,40.464892,5.4
115.50081,40.454335,5.2
115.341145,40.490766,5
115.321111,40.459281,5.2
115.549795,40.291585,5.2
115.50672,40.255488,5.1
115.460362,40.246901,5.2
115.551606,40.266519,5
115.60188,40.338226,5.1
115.603504,40.377592,5.1
115.731581,40.372804,5.1
115.752232,40.433425,4.9
115.668881,40.304757,5.3
115.739329,40.32402,5.3
115.784295,40.325204,5.2
115.818108,40.284032,5.2
115.836038,40.32347,5.2
115.857068,40.359114,5.3
115.890766,40.348757,4.3
115.291177,40.180835,5.2
115.433688,40.198932,5.3
115.249145,40.421432,5.4
115.15388,40.2341,5.4
115.252542,40.14237,5.5
115.383935,40.149112,5.2
115.203727,40.330025,5.4
115.100088,40.107286,5.3
115.041767,40.066414,5.3
115.704498,40.7817,5.2
115.611603,40.805901,5.2
115.548302,40.8041,5.2
115.589897,40.6954,5.2
115.808701,40.857899,5.1
115.601402,41.023701,5.1
115.703598,40.940701,5.2
116.099625,41.045884,5.1
116.048302,41.071899,5
116.154198,40.845798,4.9
116.080002,40.699799,5
115.943703,40.7934,4.9
115.759903,40.687,4.7
115.698799,40.648998,5.2
115.22506,40.810294,4.9
115.063609,40.853388,5.4
115.208098,40.82458,5.2
115.304978,40.82091,5.1
115.337284,40.87786,5
115.20491,41.117347,5.2
115.1638,40.957581,5.1
114.944423,40.885509,5.1
115.007607,41.01886,5.1
115.093465,41.138482,5.2
115.34647,41.002157,5.1
115.39486,41.120629,5
115.38693,41.215796,3.3
118.014391,40.940319,5
117.987674,41.097116,5.1
117.762802,41.0186,5.1
117.799698,40.8932,5.1
117.803001,41.083099,4.7
118.289688,41.045422,4.43
118.297371,41.046249,4.48
118.303429,41.046864,2.97
118.314262,41.051193,3.27
118.268555,41.084545,5.11
118.329788,41.059204,3.34
118.297623,41.080257,3.91
118.271729,41.044216,3.69
118.260674,41.042664,4.09
118.071735,41.331328,4.36
118.205345,41.115067,3.35
118.109566,41.129128,2.92
118.138313,40.70475,4.94
117.870293,40.780174,5.1
118.229614,40.901436,3.54
118.191844,41.358784,5.3
117.549202,40.461102,4.7
117.917297,40.4118,4.4
118.659325,41.011131,5.3
118.641853,40.892155,5.12
118.566048,40.811657,4.93
118.42733,40.998108,5.3
118.669945,41.174473,2.47
118.550781,41.051678,4.54
118.719879,41.091309,4.6
117.274002,41.0154,4.9
116.876701,40.9049,3.8
117.071297,40.7957,3.7
117.2006,40.7812,2.9
117.425903,40.98,2.6
117.506699,41.052502,4.9
117.8255,41.25,5.3
117.791901,41.2187,5.2
117.964996,41.196899,5.4
117.4991,41.466301,5.3
117.936798,41.276798,4.9
117.456802,41.614899,5.2
117.2565,41.466099,5.3
117.066101,41.625702,5.1
117.924103,41.6124,5.2
117.741096,41.396999,5.3
117.563904,41.318901,5.1
117.962196,41.430901,5.2
117.745201,41.554199,5.4
117.445503,41.719002,5.1
116.072303,41.7537,5.1
116.038696,41.703201,5.1
116.050903,41.715,4.3
116.0391,41.714599,4.2
116.549301,41.646598,4
116.607299,41.2672,4.8
116.973098,41.1571,5.4
116.898597,41.117198,5.1
117.035102,41.073501,5.3
116.958702,41.017101,4.1
117.328102,41.088401,4.6
116.302101,41.932498,4.2
116.176696,41.812099,4.6
116.178901,41.672901,3.8
116.378303,41.6249,5.4
116.858901,41.398101,4.7
117.041571,41.32165,4.4
116.756698,41.278499,5.2
116.690696,41.4897,5.5
116.630699,41.385398,4.9
116.337997,41.384998,4.5
116.5951,41.137798,5.1
116.568298,41.879901,5.1
116.020202,41.524898,3.7
116.003196,41.634998,4.3
116.81747,41.009667,5.4
117.208061,41.227901,5.2
118.565597,40.487388,2.3
118.600303,40.571739,1.9
118.722602,40.561958,2.7
118.193681,41.992044,4.84
117.215458,41.878245,4.94
117.655605,42.089825,3.6
117.695135,41.982939,2.5
117.754997,41.988372,3.4
117.778467,41.91179,4.9
117.908688,41.865498,4.7
117.860446,41.851031,4
117.466775,41.837646,3.65
117.904984,42.392829,4.37
117.65968,42.452339,3.62
117.966799,42.159265,4.88
117.724345,42.165645,2.9
117.509721,42.228578,2.7
117.491517,42.020432,4.1
117.751597,41.796732,3.7
117.880341,42.021156,3.72
118.013836,41.902973,4.5
118.031999,41.733114,2.79
118.231639,41.857573,3.24
117.071987,42.155515,3.02
117.17655,41.973841,3.75
110.988323,37.907795,5
110.997163,37.889266,5
112.8662,35.5537,4.56
112.785,35.5427,4.94
112.7706,35.511,4.89
112.032061,35.743414,3.34
112.052835,35.639837,3.45
112.525594,35.637762,5.01
112.538165,35.63507,4.97
112.525394,35.582534,4.71
111.971153,35.655971,4.49
